,pic_id,screen_name,user_id,lang,location,protected,followers_count,friends_count,statuses_count,favourites_count,account_created_at,verified,num.tweets.used.Lexicon.prediction,Lexicon.age.prediction,Lexicon.gender.prediction..index.,lexicon.gender.prediction,human.labeled.age,age
929,2761,skeleton_spoopi,1.11e+18,en,"Lenexa, KS",0,2.6673943865711057e-05,0.001665741254858412,0.0009692406107508169,0.003869623846327399,0.9160050479876114,0.0,0.6153846153846154,0.1852241866683906,0.5924151784127631,0.0,0.125,0.0
930,2765,slapstck,2649360362.0,en,TX,0,0.0011428759025539274,0.0052038273310693025,0.10479214096635443,0.07752102714245987,0.5544549982081135,0.0,0.6153846153846154,0.2403571192313077,0.4722343120367269,1.0,0.125,0.0
932,2770,smilemorepenny,7.57e+17,en,Texas USA,0,0.0005334788773142212,0.0012783595676820372,0.0037757306458804044,0.00562472781459386,0.7098284424068976,0.0,0.6153846153846154,0.23252943064710507,0.4926774926509574,0.0,0.16071428571428573,1.0
933,2779,Sockslynks,4142042533.0,en,America's Dairyland,0,0.0007673888465981488,0.007644331960280464,0.03912070491792686,0.07599154192048775,0.6551443956356635,0.0,0.6153846153846154,0.1901182461817434,0.31514432004141557,1.0,0.07142857142857142,0.0
935,2787,SoOvrTheRainbow,2227703952.0,en,North Carolina,0,0.0003159836427168848,0.004093333161163695,0.02889844727654158,0.0004984600208828514,0.5071336966625,0.0,0.6153846153846154,0.3818828479026634,0.42703453632087274,1.0,0.7321428571428571,1.0
936,2790,sophiugh,148489993.0,en,"Michigan, USA",0,0.0014732224381215798,0.008612786178221402,0.08385869764216067,0.07011233714786423,0.2362962357517245,0.0,0.6153846153846154,0.19672396957823557,0.5288255114046206,0.0,0.125,0.0
937,2792,sp_acevex,2502215220.0,en,the clubhouse,0,0.0002708431223287584,0.0041708094985989696,0.016617091804316784,0.10772508093416655,0.541996160055305,0.0,0.6153846153846154,0.11851240785165677,0.46446937057923054,1.0,0.14285714285714285,0.0
938,2799,spherection,4724899212.0,en,PNW,0,0.00015388813768679456,0.0009426287721291789,0.08829351190335163,0.0013248542660307366,0.6683413360206025,0.0,0.6153846153846154,0.20725486949193936,0.44730339755238396,1.0,0.08928571428571429,0.0
939,2801,spookylauren,129602423.0,en,"Minneapolis, MN",0,0.0035537900596470423,0.00663713957362189,0.0989594663576584,0.19384847864754678,0.22535001003778096,0.0,0.6153846153846154,0.2580248299502465,0.7062325601659164,0.0,0.21428571428571427,1.0
940,2810,St0rmii__,9.93e+17,en,"New Orleans, LA",0,0.001329593509613905,0.010782123626409101,0.11596856214232329,0.29008012088967244,0.8469389739472429,0.0,0.2867132867132867,0.16613924335460006,0.4783803528878051,1.0,0.125,0.0
941,2811,stacee_sgotti,1698087968.0,en,Catholic _È,0,0.009204562475506137,0.06453778908358405,0.31631059638451714,0.5136682984673666,0.4860720488960561,0.0,0.6153846153846154,0.2157423470271424,0.9513266188011055,0.0,0.21428571428571427,1.0
942,2814,STAN_ABBA,9.49e+17,en,"Reading, MA",0,0.00016825103053756205,0.006198106994821998,0.006321602650119216,0.01969179429866675,0.8214473968371266,0.0,0.6153846153846154,0.1343115181078044,0.5412726379453157,0.0,0.125,0.0
943,2818,stav_tavo,2167003592.0,en,"Salinas, CA",0,0.0008699809383893452,0.005255478222692819,0.01186996667966167,0.013752249628778457,0.5003015720787973,0.0,0.6153846153846154,0.2765616080965545,0.5312613941857409,0.0,0.16071428571428573,1.0
944,2819,steamboatwillyo,7.65e+17,en,"Pennsylvania, USA",0,0.00027699864783623017,0.006030241597045569,0.01608724027043967,0.10314449568963256,0.7148281784856358,0.0,0.6153846153846154,0.10634750052652067,0.4208006139395876,1.0,0.08928571428571429,0.0
945,2821,StefonBaguette,343843321.0,en,Rocky Top,0,0.0010854243311508576,0.008057539093268597,0.04958850351403568,0.06414131079244649,0.3262718921224402,0.0,0.6153846153846154,0.2567187227642902,0.2979633586029771,1.0,0.17857142857142858,1.0
946,2825,StephanySaid_,941492875.0,en,probably sleeping,0,0.0016312142594800223,0.006443448730033702,0.04872049470040773,0.015365686012162424,0.4257409644253147,0.0,0.6153846153846154,0.24493509016951578,0.6689522728876238,0.0,0.14285714285714285,0.0
947,2831,stevenmurillo21,7.5e+17,en,"Indiana, USA",0,0.0008720327802251691,0.005345867283033974,0.0693007036686834,0.11568732389932157,0.706105471124309,0.0,0.6153846153846154,0.1566798349221018,0.4668189530435725,1.0,0.10714285714285714,0.0
949,2847,suckafreeebri,1.02e+18,en,"Ontario, CA",0,8.002183159713317e-05,0.0016528285319525329,0.0034461888382251267,0.003190144133650249,0.863384119777265,0.0,0.6153846153846154,0.1967249296096604,0.5299378641731898,0.0,0.125,0.0
951,2851,summersmith326,3222746762.0,en,"Spicewood, TX",0,0.0006093970252397064,0.009826582131374042,0.0029314143805152485,0.019235309858489823,0.6197292328693534,0.0,0.6153846153846154,0.2000892557040811,0.5643906147836527,0.0,0.125,0.0
952,2859,svveetalexa,9.65e+17,en,"Atlanta, GA",0,4.924420405977426e-05,0.0008522397117880248,0.0008033927729112326,0.002502793999590738,0.8306327340444245,0.0,0.6153846153846154,0.22842585211936278,0.5889172758699258,0.0,0.10714285714285714,0.0
953,2864,swavey_orlando,2464016078.0,en,"San Francisco, CA",0,0.0031475253761539044,0.021835414433841665,0.12106892162289648,0.08956014838367779,0.5374431161951005,0.0,0.6153846153846154,0.1776448452873957,0.42220533941086574,1.0,0.10714285714285714,0.0
954,2865,swavydreams,1184579196.0,en,"Orlando, FL",0,0.0005088567752843339,0.004119158606975453,0.02175622090932,0.009386789235362328,0.44606875024582693,0.0,0.6153846153846154,0.1892978308322578,0.6380830835519692,0.0,0.10714285714285714,0.0
955,2868,sweetflipsbrah,8.63e+17,en,"Connecticut, USA",0,0.000112851300970316,0.002763322701858141,0.009156092969559384,0.03510470283912334,0.7714726996483925,0.0,0.6153846153846154,0.1572724139432982,0.4340299079899797,1.0,0.10714285714285714,0.0
956,2871,sydastry,2808334484.0,en,"Dallas, TX",0,0.0009417954026431826,0.009439200444197668,0.04633616279796072,0.18398159370786046,0.5670966073177689,0.0,0.6153846153846154,0.23713686001323364,0.4906720497285799,0.0,0.14285714285714285,0.0
957,2872,sydfcarter,2730970430.0,en,"Seattle, WA",0,0.0008392033108519862,0.004777707475175291,0.011975506212832315,0.1391411796187568,0.5606189121735838,0.0,0.6153846153846154,0.19306226392635287,0.545555577228953,0.0,0.10714285714285714,0.0
958,2873,sydnesingleton,2681736609.0,en,"Georgia, USA",0,0.0007017299078517831,0.004609842077398861,0.0031855708073343513,0.0496597354489026,0.552598045286549,0.0,0.6153846153846154,0.16889541885124293,0.5375887824657152,0.0,0.08928571428571429,0.0
959,2879,SykoHeatherrr,1.09e+18,en,Probably w. my cat,0,0.0003857462651348983,0.0015495267487054996,0.021306062492326847,0.07318180148698494,0.9019223264374095,0.0,0.6153846153846154,0.239844420257175,0.5668825749260888,0.0,0.125,0.0
960,2881,syydddoooo,8.07e+17,en,"Bakersfield, CA",0,0.0006093970252397064,0.005681598078586832,0.04810448844557499,0.20050423166322992,0.7389309887572467,0.0,0.6153846153846154,0.07734737531069127,0.6671926283247597,0.0,0.05357142857142857,0.0
